"FID","survey_id","country","area","ecoregion","realm","location","site_code","site_name","latitude","longitude","survey_date","depth","program","visibility","hour","survey_latitude","survey_longitude","method","block","phylum","class","order","family","species_name","reporting_name","size_class","total","biomass","geom","year","month"
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d1",912354271,"Australia","Queensland","Torres Strait Northern Great Barrier Reef","Central Indo-Pacific","West Cape York","GC16","Merkara Shoal SW",-10.5,141.23,"2020-11-01",11.5,"RLS",17,"8:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (141.22999572753906 -10.5)",2020,11
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d0",912354271,"Australia","Queensland","Torres Strait Northern Great Barrier Reef","Central Indo-Pacific","West Cape York","GC16","Merkara Shoal SW",-10.5,141.23,"2020-11-01",11.5,"RLS",17,"8:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (141.22999572753906 -10.5)",2020,11
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36ca",912354440,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","GBR - South","GBR265","Swains SE",-22.37,152.55,"2020-12-20",6,"RLS",30,"15:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",200,1,NA,"POINT (152.5500030517578 -22.3700008392334)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c8",912354444,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS51","Saumarez stripe seasnake",-21.92,153.59,"2020-12-22",7,"RLS",40,"8:00:00",-21.92,153.59,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (153.59 -21.92)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c7",912354448,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS48","Saumarez SW reef cay",-21.9,153.54,"2020-12-23",9,"RLS",40,"11:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (153.5399932861328 -21.899999618530273)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c6",912354449,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS46","Saumarez SW Islet",-21.85,153.52,"2020-12-23",8,"RLS",50,"14:00:00",-21.85,153.52,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (153.52 -21.85)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c5",912354451,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS4","Paget Cay Bommie",-19.23,152.33,"2020-12-26",6,"RLS",50,"10:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (152.3300018310547 -19.229999542236328)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c4",912354453,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS219","Paget Cay Far North",-19.24,152.36,"2020-12-27",5,"RLS",40,"9:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",35,1,NA,"POINT (152.36000061035156 -19.239999771118164)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c3",912354454,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - Central","CS6","Paget Cay South",-19.26,152.34,"2020-12-27",4,"RLS",30,"11:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (152.33999633789062 -19.260000228881836)",2020,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36c2",912354462,"Australia","Queensland","Central and Southern Great Barrier Reef","Central Indo-Pacific","Coral Sea - South","CS47","Saumarez egg seasnake",-21.9,153.54,"2020-12-23",6,"RLS",40,"9:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (153.5399932861328 -21.899999618530273)",2020,12
