FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5658,912353540,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS237,Occy Elbow,-20.94,154.4,2019-12-02,8,RLS,30,12:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (154.39999389648438 -20.940000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5659,912353541,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS237,Occy Elbow,-20.94,154.4,2019-12-02,7,RLS,30,12:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (154.39999389648438 -20.940000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565a,912353541,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS237,Occy Elbow,-20.94,154.4,2019-12-02,7,RLS,30,12:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (154.39999389648438 -20.940000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565b,912353541,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS237,Occy Elbow,-20.94,154.4,2019-12-02,7,RLS,30,12:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (154.39999389648438 -20.940000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565c,912353553,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS35,Bird NW Bommie,-22.17,155.45,2019-12-07,5,RLS,40,9:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.4499969482422 -22.170000076293945)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565d,912353557,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS38,Porpoise Anchorage,-22.19,155.36,2019-12-08,7,RLS,35,9:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,30,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565e,912353560,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS54,Kenn Reef bommie,-21.25,155.76,2019-12-06,8,RLS,35,10:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,62.5,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_565f,912353571,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS59,Kenn Twin Bommies,-21.2,155.77,2019-12-04,6,RLS,16,13:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (155.77000427246094 -21.200000762939453)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5660,912353577,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS72,Fredrick Observatory Cay,-21.02,154.37,2019-12-03,1.5,RLS,16,11:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5661,912353578,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS72,Fredrick Observatory Cay,-21.02,154.37,2019-12-03,2,RLS,16,11:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5662,912354271,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC16,Merkara Shoal SW,-10.5,141.23,2020-11-01,11.5,RLS,17,8:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (141.22999572753906 -10.5)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5663,923400588,Australia,Northern Territory,Exmouth to Broome,Central Indo-Pacific,Oceanic Shoals,OS15,Blue Coral Shoal,-11.73,123.99,2021-10-09,12,RLS,35,10:30:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (123.98999786376953 -11.729999542236328)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5664,923400623,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,Coral Sea - Far North,CS192,Ashmore reef SW anchorage,-10.38,144.53,2021-08-19,2.5,RLS,25,14:55:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,125,1,,POINT (144.52999877929688 -10.380000114440918)
