FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55be,912347758,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Capricorn-Bunker,GBR16,Tryon Island south,-23.25,151.77,2017-02-15,8,RLS,20,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,150,1,,POINT (151.77000427246094 -23.25)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55bf,912347785,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD inshore - South,GBR109,Middle Percy NW Notch,-21.62,150.25,2017-02-08,9.7,RLS,6,8:00:00,-21.65,150.24,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,187.5,3,,POINT (150.24 -21.65)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c0,912347800,Australia,New South Wales,Tweed-Moreton,Temperate Australasia,Solitary Islands,SI17,Cleaner Station,-30.2,153.27,2017-05-05,8,RLS,25,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,62.5,1,,POINT (153.27000427246094 -30.200000762939453)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c1,912347815,Australia,New South Wales,Tweed-Moreton,Temperate Australasia,Solitary Islands,SI7,South Boulder Wall,-30.2,153.27,2017-05-05,12,RLS,20,11:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Caretta caretta,Caretta caretta,100,1,,POINT (153.27000427246094 -30.200000762939453)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c2,912347815,Australia,New South Wales,Tweed-Moreton,Temperate Australasia,Solitary Islands,SI7,South Boulder Wall,-30.2,153.27,2017-05-05,12,RLS,20,11:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,100,1,,POINT (153.27000427246094 -30.200000762939453)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c3,912349634,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Exmouth,NMP-BF3,Bundegi SZ South,-21.87,114.16,2017-07-28,4,RLS,6,9:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (114.16000366210938 -21.8700008392334)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c4,912349650,Australia,Western Australia,Ningaloo,Central Indo-Pacific,Ningaloo Reef,NMP-C1,Monck Head,-23.18,113.76,2017-07-30,1.2,RLS,20,11:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,75,1,,POINT (113.76000213623047 -23.18000030517578)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c5,912349688,Australia,Western Australia,Ningaloo,Central Indo-Pacific,Ningaloo Reef,NMP8,Maud SZ external,-23.18,113.76,2017-07-31,3,RLS,15,12:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Laticauda colubrina,Laticauda colubrina,25,1,,POINT (113.76000213623047 -23.18000030517578)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c6,912350142,Australia,New South Wales,Lord Howe and Norfolk Islands,Central Indo-Pacific,Lord Howe Island,LHI30,Malabar,-31.51,159.06,2018-02-13,11,RLS,30,11:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,112.5,1,,POINT (159.05999755859375 -31.510000228881836)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55c7,912350150,Australia,New South Wales,Lord Howe and Norfolk Islands,Central Indo-Pacific,Lord Howe Island,LHI17,North Head inside,-31.52,159.04,2018-02-17,7,RLS,7,8:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,100,1,,POINT (159.0399932861328 -31.520000457763672)
