FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f8,912343191,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS71,Quay West Bommie,-21.02,154.37,2013-06-08,5.5,RLS,25,8:00:00,,,1,1,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys imbricata,Eretmochelys imbricata,50,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f7,912343192,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS71,Quay West Bommie,-21.02,154.37,2013-06-08,3.5,RLS,25,8:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f6,912343151,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2013-06-02,5.5,RLS,35,15:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (153.58999633789062 -21.920000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f5,912343151,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2013-06-02,5.5,RLS,35,15:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus spp.,Aipysurus spp.,10,2,,POINT (153.58999633789062 -21.920000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f4,912343151,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2013-06-02,5.5,RLS,35,15:00:00,,,1,1,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,87.5,1,,POINT (153.58999633789062 -21.920000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f3,912343176,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS63,Frederick Passage,-21,154.39,2013-06-06,5,RLS,40,10:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,1,,POINT (154.38999938964844 -21)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f2,912343180,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS65,Fredrick central reef,-21.01,154.39,2013-06-06,5,RLS,40,12:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,100,1,,POINT (154.38999938964844 -21.010000228881836)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f1,912343182,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS66,Frederick Split Rocks,-21.01,154.39,2013-06-06,3,RLS,40,13:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (154.38999938964844 -21.010000228881836)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f0,912343182,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS66,Frederick Split Rocks,-21.01,154.39,2013-06-06,3,RLS,40,13:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (154.38999938964844 -21.010000228881836)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37ef,912343152,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2013-06-02,5,RLS,35,15:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Acalyptophis peronii,Acalyptophis peronii,100,1,,POINT (153.58999633789062 -21.920000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37ee,912343154,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS52,Kenn Reef anchorage bommie,-21.26,155.75,2013-06-04,14,RLS,25,9:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (155.75 -21.260000228881836)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37ed,912343197,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS74,Frederick Lighthouse,-20.94,154.4,2013-06-08,5.5,RLS,30,12:00:00,-20.94,154.4,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus spp.,Aipysurus spp.,62.5,1,,POINT (154.4 -20.94)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37ec,912343197,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS74,Frederick Lighthouse,-20.94,154.4,2013-06-08,5.5,RLS,30,12:00:00,-20.94,154.4,1,1,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys imbricata,Eretmochelys imbricata,40,1,,POINT (154.4 -20.94)
